date,symbol,compound_b,neg_b,neu_b,pos_b,compound_t,neg_t,neu_t,pos_t
2020-12-02,PFE,1.4792999999999998,0.114,7.74,0.147,1.3355,0.252,8.084,0.6639999999999999
2020-12-03,AZN,1.8375,0.053,4.761,0.186,0.7065999999999999,0.056,4.578,0.366
2020-12-03,MRNA,0.9118,0.061,0.833,0.106,1.3708,0.0,2.215,0.7849999999999999
2020-12-03,PFE,0.12969999999999993,0.093,6.769,0.138,2.4482,0.18,5.771,1.048
2020-12-04,AZN,0.0,0.0,1.0,0.0,0.296,0.0,0.872,0.128
2020-12-04,MRNA,4.3712,0.249,6.187,0.563,1.6376000000000002,0.106,7.062,0.8320000000000001
2020-12-04,PFE,3.3325,0.14,5.494000000000001,0.365,1.1890999999999998,0.0,5.251,0.749
2020-12-05,JNJ,0.9332,0.05,0.867,0.083,0.0,0.0,1.0,0.0
2020-12-06,AZN,0.9845,0.03,0.894,0.077,0.0,0.0,1.0,0.0
2020-12-06,MRNA,-0.9944,0.052,2.925,0.023,-0.3818,0.28700000000000003,2.574,0.139
2020-12-06,PFE,0.9186,0.033,1.8239999999999998,0.143,0.128,0.166,1.637,0.197
2020-12-07,AZN,-0.2625999999999999,0.448,5.1739999999999995,0.37900000000000006,0.07289999999999991,0.917,4.598,0.485
2020-12-07,MRNA,0.9891,0.086,1.806,0.10899999999999999,1.5847,0.0,2.327,0.673
2020-12-07,PFE,3.8228,0.12499999999999999,5.476999999999999,0.398,0.1531,0.058,5.868,0.074
2020-12-08,AZN,2.9135,0.06,2.5700000000000003,0.371,0.7518,0.075,2.5780000000000003,0.347
2020-12-08,JNJ,0.0,0.0,1.0,0.0,0.7574,0.0,0.789,0.211
2020-12-08,MRNA,0.5692,0.07300000000000001,1.767,0.16,1.0908,0.0,2.538,0.46199999999999997
2020-12-08,PFE,0.802,0.042,6.895,0.063,0.21509999999999996,0.37,7.272,0.358
2020-12-09,AZN,0.0,0.0,1.0,0.0,0.6369,0.0,0.865,0.135
2020-12-09,MRNA,0.9607,0.111,5.68,0.21,0.6036,0.34900000000000003,5.898999999999999,0.751
2020-12-09,PFE,0.07120000000000004,0.14100000000000001,5.685,0.174,-0.6805000000000001,0.6739999999999999,5.873,0.45299999999999996
2020-12-10,AZN,0.6597,0.074,2.824,0.101,-0.1886,0.286,2.533,0.181
2020-12-10,MRNA,0.38759999999999994,0.102,2.752,0.14600000000000002,0.4019,0.0,2.886,0.114
2020-12-10,PFE,3.9656,0.108,6.474,0.41899999999999993,1.1492999999999998,0.559,7.66,0.781
2020-12-11,AZN,1.9931999999999999,0.037,3.6819999999999995,0.28099999999999997,-0.6511,0.301,3.455,0.244
2020-12-11,JNJ,0.0,0.0,1.0,0.0,-0.1531,0.228,0.614,0.158
2020-12-11,MRNA,0.0,0.0,0.0,0.0,0.296,0.0,0.845,0.155
2020-12-11,PFE,0.0837,0.055,6.792,0.153,1.3329,0.22,7.983999999999999,0.7959999999999999
2020-12-12,AZN,1.7645,0.054,1.7,0.244,0.0,0.0,2.0,0.0
2020-12-12,MRNA,2.6763,0.08,2.6479999999999997,0.273,0.2732,0.0,2.84,0.16
2020-12-12,PFE,3.3608,0.176,3.466,0.357,-0.3046,0.167,3.735,0.098
